;Rm;S;H;W;R;C
2004-09-30;0.1144;0.0057;-0.0558;-0.0229;-0.0116;0.004
2004-10-29;0.0475;-0.0046;0.0203;-0.0369;-0.0057;-0.0761
2004-11-30;-0.0198;0.0181;0.0434;0.124;0.0153;0.026
2004-12-31;0.0336;-0.0113;0.0174;0.0067;-0.0999;-0.0287
2005-01-31;0.0403;0.058;0.0146;-0.0162;-0.0493;-0.0185
2005-02-28;0.1289;-0.0723;0.0292;0.014;-0.0138;0.0416
2005-03-31;-0.0788;-0.0209;0.0118;-0.0119;0.0257;0.0169
2005-04-29;-0.0583;-0.0338;-0.0026;0.012;0.0531;0.0386
2005-05-31;0.0432;-0.0225;0.0739;-0.0319;-0.0009;-0.0546
2005-06-30;0.1061;-0.0069;0.0184;-0.2036;0.0538;-0.0034
2005-07-29;0.0913;0.042;-0.0807;0.1131;-0.0766;-0.0723
2005-08-31;0.087;-0.0397;-0.0256;0.0923;0.0679;-0.0359
2005-09-30;0.0772;-0.0694;0.0424;0.0214;0.0185;-0.0235
2005-10-31;-0.0598;0.0517;0.0228;0.0161;0.0047;0.0088
2005-11-30;0.0736;-0.0139;0.0306;-0.0026;-0.0497;-0.0047
2005-12-30;0.0414;0.0716;0.0368;0.0135;-0.0184;-0.0244
2006-01-31;0.1488;0.0341;-0.1132;0.0698;0.0083;-0.017
2006-02-28;0.0352;0.0585;-0.0226;0.017;-0.0369;0.0272
2006-03-31;-0.008;0.0726;-0.0663;0.0041;0.0786;-0.0633
2006-04-28;0.13;0.0772;-0.0671;0.1015;0.0085;0.0271
2006-05-31;-0.1319;-0.0123;-0.0116;-0.0825;0.0526;-0.0423
2006-06-30;-0.0247;-0.0375;0.0292;0.0316;0.0617;0.0422
2006-07-31;0.0409;0.0159;-0.0071;0.0109;0.0667;-0.0097
2006-08-31;0.0408;0.0665;-0.0016;-0.0378;-0.0013;-0.0075
2006-09-29;-0.0472;0.0667;-0.0328;0.0517;-0.0119;0.055
2006-10-31;0.0554;0.0451;0.0057;0.0139;-0.0312;0.0652
2006-11-30;0.061;0.0205;-0.0705;0.1351;0.08;0.0232
2006-12-29;0.033;-0.0216;0.025;0.0498;-0.009;0.0297
2007-01-31;-0.0292;0.0399;-0.0049;0.0353;-0.0233;0.0428
2007-02-28;-0.0082;0.0375;-0.0134;0.0397;-0.0143;0.0242
2007-03-30;0.039;0.0633;-0.086;0.1085;-0.0205;0.0071
2007-04-30;0.022;0.0385;-0.0425;0.1087;-0.003;0.0081
2007-05-31;-0.0228;0.0902;0.0892;-0.047;-0.0585;0.019
2007-06-29;0.052;-0.0072;-0.0046;0.0253;0.0222;-0.0074
2007-07-31;0.0448;-0.0308;0.1013;-0.1039;-0.0521;0.0319
2007-08-31;-0.042;-0.0206;0.0376;-0.0186;0.0483;0.0285
2007-09-28;0.0825;-0.0071;0.0472;0.0072;-0.0404;0.0239
2007-10-31;0.0873;-0.0437;0.0135;0.0237;-0.0006;-0.0146
2007-11-30;-0.0117;-0.0745;0.0097;-0.0316;0.054;0.02
2007-12-28;0.0284;-0.0315;-0.0076;-0.0191;0.0057;-0.0071
2008-01-31;-0.1478;-0.0028;0.0053;0.0159;0.0465;0.0148
2008-02-29;0.0623;-0.0198;0.02;0.0124;0.0365;-0.0036
2008-03-31;-0.0239;-0.0138;-0.0503;-0.0716;0.1156;-0.0925
2008-04-30;0.0448;-0.0355;0.0949;0.0438;-0.077;0.0738
2008-05-30;0.1033;-0.0699;-0.0552;0.0543;0.0584;-0.0059
2008-06-30;-0.0609;-0.0507;-0.0403;0.0932;0.0781;0.0128
2008-07-31;-0.0681;0.024;0.1845;-0.165;-0.1636;0.0537
2008-08-29;-0.1312;0.0421;0.0542;-0.0627;-0.0496;0.0471
2008-09-30;-0.2076;0.0391;0.0057;0.0238;0.0057;0.0598
2008-10-31;-0.3423;0.0309;-0.0207;-0.0154;0.03;0.0284
2008-11-28;-0.1364;0.0036;0.0414;0.0265;-0.0093;0.0529
2008-12-31;-0.0253;0.0127;-0.017;0.0391;-0.0406;-0.0078
2009-01-30;-0.1481;-0.0207;0.0371;0.0315;0.051;0.0414
2009-02-27;-0.0257;-0.041;0.0699;-0.0424;0.0504;0.0217
2009-03-31;0.1572;0.0068;0.1228;-0.1717;-0.0501;-0.0417
2009-04-30;0.2136;-0.0071;0.129;-0.1679;-0.0189;-0.0641
2009-05-29;0.2194;-0.0979;0.0966;-0.1269;-0.0445;-0.0968
2009-06-30;-0.061;0.1385;-0.0228;0.0696;-0.0686;-0.0253
2009-07-31;0.1335;0.0127;-0.0001;-0.0269;-0.0182;-0.0191
2009-08-31;0.0445;0.0612;0.0355;-0.0764;-0.0126;-0.017
2009-09-30;0.1004;-0.069;0.0448;-0.0593;0.0209;-0.019
2009-10-30;0.0221;-0.0489;0.0295;-0.0278;0.036;0.0218
2009-11-30;0.0079;-0.0115;-0.0066;-0.0206;0.0337;0.0035
2009-12-31;0.0585;-0.015;0.0242;0.0692;-0.1029;-0.0068
2010-01-29;0.0419;0.0337;-0.0047;0.0094;-0.0107;0.0214
2010-02-26;-0.0065;0.0266;-0.011;-0.056;0.1282;-0.0241
2010-03-31;0.1056;0.0465;-0.0141;0.0772;-0.0776;0.0237
2010-04-30;0.0143;0.0017;0.0252;-0.0006;-0.0221;0.0296
2010-05-31;-0.1277;-0.0232;0.0191;-0.0409;0.0348;-0.0196
2010-06-30;-0.0266;-0.003;-0.0349;0.0206;-0.048;-0.031
2010-07-30;0.1199;-0.0018;0.0182;0.0002;0.0042;0.0036
2010-08-31;-0.0264;0.0205;-0.0119;0.0168;0.0174;-0.0169
2010-09-30;0.0957;0.0276;-0.0353;0.0112;-0.0234;0.004
2010-10-29;0.0402;-0.0105;0.0029;-0.0165;-0.0334;0.0063
2010-11-30;-0.0418;-0.0361;0.016;0.0111;0.0237;-0.0139
2010-12-31;0.0728;-0.009;0.0215;-0.0484;0.0498;0.0353
2011-01-31;0.0224;-0.0043;0.0279;-0.0438;0.068;0.03
